,round,hid_dim,weight_decay,lr,f1,distance,hp_id
37,7,32,0.01,0.01,0.33244969461593304,110312.65819156368,32_0.01_0.01
38,8,32,0.01,0.01,0.31094472972380494,111481.08298510885,32_0.01_0.01
39,9,32,0.01,0.01,0.2752618035859873,113500.05941879419,32_0.01_0.01
40,0,64,0.0,0.01,0.3417142472319376,99664.52383307368,64_0_0.01
41,1,64,0.0,0.01,0.19774101147748716,108622.548931505,64_0_0.01
42,2,64,0.0,0.01,0.36665752772779503,99986.5949799638,64_0_0.01
43,3,64,0.0,0.01,0.32936212749932425,100773.74264322096,64_0_0.01
44,4,64,0.0,0.01,0.26180777607541217,104396.7874376747,64_0_0.01
45,5,64,0.0,0.01,0.18898953865592547,117281.40733217336,64_0_0.01
46,6,64,0.0,0.01,0.23834073111689819,109593.76196941767,64_0_0.01
47,7,64,0.0,0.01,0.22947411646314603,106603.56026332082,64_0_0.01
48,8,64,0.0,0.01,0.4068954864411116,94060.46576013492,64_0_0.01
49,9,64,0.0,0.01,0.23842786941810723,107870.99138687846,64_0_0.01
50,0,64,0.0001,0.01,0.2922916455174671,108328.78269474766,64_0.0001_0.01
51,1,64,0.0001,0.01,0.27575784431908196,103218.90822816052,64_0.0001_0.01
52,2,64,0.0001,0.01,0.23456279537115263,110641.12953503091,64_0.0001_0.01
53,3,64,0.0001,0.01,0.2803254542087267,103899.12395683627,64_0.0001_0.01
54,4,64,0.0001,0.01,0.25140536620777026,110071.73754694231,64_0.0001_0.01
55,5,64,0.0001,0.01,0.25430396958471535,106362.86059605739,64_0.0001_0.01
56,6,64,0.0001,0.01,0.3498822327258233,98482.9541168777,64_0.0001_0.01
57,7,64,0.0001,0.01,0.22089218108902575,105779.66013300483,64_0.0001_0.01
58,8,64,0.0001,0.01,0.21158125590291377,115142.38982843909,64_0.0001_0.01
59,9,64,0.0001,0.01,0.2933434939156676,101665.35081480358,64_0.0001_0.01
60,0,64,0.001,0.01,0.32076849136652325,102569.86689420247,64_0.001_0.01
61,1,64,0.001,0.01,0.2992693109161583,104891.55903141596,64_0.001_0.01
62,2,64,0.001,0.01,0.38063244097809584,96312.26348798638,64_0.001_0.01
63,3,64,0.001,0.01,0.43966495011848766,92343.87206006612,64_0.001_0.01
64,4,64,0.001,0.01,0.3620817260309542,96911.1200210237,64_0.001_0.01
65,5,64,0.001,0.01,0.3376996577661943,100453.86544346115,64_0.001_0.01
66,6,64,0.001,0.01,0.2775505262593471,104966.79899589974,64_0.001_0.01
67,7,64,0.001,0.01,0.25859418182295313,109319.41334597826,64_0.001_0.01
68,8,64,0.001,0.01,0.24691741073372742,106403.13301044558,64_0.001_0.01
69,9,64,0.001,0.01,0.22785629739144916,108117.40310411337,64_0.001_0.01
70,0,64,0.01,0.01,0.32746795716746196,108150.02178662652,64_0.01_0.01
71,1,64,0.01,0.01,0.32390850276941074,108428.99211050599,64_0.01_0.01
72,2,64,0.01,0.01,0.2733035113882187,114210.33111448753,64_0.01_0.01
73,3,64,0.01,0.01,0.32338520422016964,109000.21383351926,64_0.01_0.01
74,4,64,0.01,0.01,0.28235313167373705,111586.94558449181,64_0.01_0.01
75,5,64,0.01,0.01,0.3732484398929703,108703.70770899735,64_0.01_0.01
76,6,64,0.01,0.01,0.4110217760448476,111547.47231751925,64_0.01_0.01
77,7,64,0.01,0.01,0.25025384361384734,112118.32831219623,64_0.01_0.01
78,8,64,0.01,0.01,0.3313925918019983,112310.90519098901,64_0.01_0.01
79,9,64,0.01,0.01,0.4270056928816076,108727.68978760336,64_0.01_0.01
80,0,128,0.0,0.01,0.3649995479136699,97612.79304916777,128_0_0.01
81,1,128,0.0,0.01,0.25894848267262494,105742.81815426084,128_0_0.01
82,2,128,0.0,0.01,0.3985765018366898,98294.51795841196,128_0_0.01
83,3,128,0.0,0.01,0.2690767242994459,107086.91815341476,128_0_0.01
84,4,128,0.0,0.01,0.21685471192389083,112541.8712173969,128_0_0.01
85,5,128,0.0,0.01,0.2582240132656412,109514.05775921125,128_0_0.01
86,6,128,0.0,0.01,0.16444350502509306,118078.70163545269,128_0_0.01
87,7,128,0.0,0.01,0.44623579563337745,90578.46971338066,128_0_0.01
88,8,128,0.0,0.01,0.19744640482307665,110154.60564491067,128_0_0.01
89,9,128,0.0,0.01,0.3526234673405513,99944.53878132129,128_0_0.01
90,0,128,0.0001,0.01,0.2796713596627219,106697.6241924877,128_0.0001_0.01
91,1,128,0.0001,0.01,0.21013223897063665,113370.84026632893,128_0.0001_0.01
92,2,128,0.0001,0.01,0.2152657865687372,113223.70475802835,128_0.0001_0.01
93,3,128,0.0001,0.01,0.2816145988252745,106281.59975975992,128_0.0001_0.01
94,4,128,0.0001,0.01,0.4233788905728758,92396.03844768288,128_0.0001_0.01
95,5,128,0.0001,0.01,0.18101449300962863,113149.34813570797,128_0.0001_0.01
96,6,128,0.0001,0.01,0.24920046026975984,113128.45029569593,128_0.0001_0.01
97,7,128,0.0001,0.01,0.34147999113988076,104886.00971581263,128_0.0001_0.01
98,8,128,0.0001,0.01,0.31450129058904547,108138.6824413296,128_0.0001_0.01
99,9,128,0.0001,0.01,0.18511493391704023,115835.9568002523,128_0.0001_0.01
100,0,128,0.001,0.01,0.3226749473277801,104111.45165888304,128_0.001_0.01
101,1,128,0.001,0.01,0.24043819339652742,105750.39442959605,128_0.001_0.01
102,2,128,0.001,0.01,0.2881311372696084,106811.60306403956,128_0.001_0.01
103,3,128,0.001,0.01,0.3002544150840925,106388.65245006068,128_0.001_0.01
104,4,128,0.001,0.01,0.2659586228015799,107276.72724646293,128_0.001_0.01
105,5,128,0.001,0.01,0.34278489115625554,98861.07006841703,128_0.001_0.01
106,6,128,0.001,0.01,0.38162849965122464,96509.44078097383,128_0.001_0.01
107,7,128,0.001,0.01,0.44522711835521417,97721.07664194811,128_0.001_0.01
108,8,128,0.001,0.01,0.35438203464812024,101659.20985236071,128_0.001_0.01
109,9,128,0.001,0.01,0.40201212528416036,91777.57254529606,128_0.001_0.01
110,0,128,0.01,0.01,0.3489785182770823,110701.71109042256,128_0.01_0.01
111,1,128,0.01,0.01,0.3159989845681355,111124.6119818796,128_0.01_0.01
